expert_id,utilization_rate,routing_skewness,routing_entropy,mean_routing_weight_when_active,activation_norm,activation_std
0,0.01322265625,0.9889766155691107,6.469407081604004,0.03939259424805641,28.753305435180664,14.06021499633789
1,0.03763671875,0.9717047125320923,7.464991569519043,0.09554561227560043,93.48815155029297,42.1984977722168
2,0.052578125,0.958907186856008,7.823914527893066,0.07232066243886948,122.81906127929688,37.65262985229492
3,0.0087890625,0.9928572159216107,6.052277565002441,0.04053822159767151,24.232742309570312,6.498633861541748
4,0.0318359375,0.9774736409996561,7.262861251831055,0.07649064064025879,82.14019012451172,30.9361629486084
5,0.013828125,0.9882233361912844,6.526676177978516,0.038533441722393036,23.27805519104004,7.300631999969482
6,0.12029296875,0.9097513461698592,8.59736442565918,0.06263595074415207,297.5337829589844,161.96224975585938
7,0.02671875,0.9779265641525081,7.170368194580078,0.04078059643507004,19.08123207092285,4.029785633087158
8,0.02318359375,0.9840753737710151,6.9149556159973145,0.06001792848110199,55.11125946044922,17.834857940673828
9,0.02919921875,0.9784629998981651,7.198716163635254,0.06878603249788284,110.2915267944336,132.32066345214844
10,0.61328125,0.6275895522443979,10.086912155151367,0.020264528691768646,368.07391357421875,70.74659729003906
11,0.402578125,0.7900938994843456,9.338600158691406,0.020196175202727318,383.0252380371094,84.77239227294922
12,0.04533203125,0.9672236446613847,7.629683971405029,0.09242868423461914,77.87285614013672,16.344728469848633
13,0.0226953125,0.9811280375797446,7.005237579345703,0.038317300379276276,22.63150978088379,13.431008338928223
14,0.6697265625,0.5925572985194283,10.177513122558594,0.03457231447100639,601.774658203125,91.4700927734375
15,0.0680859375,0.9411356218865392,8.10339641571045,0.05088179185986519,594.1251220703125,194.94029235839844
16,0.0399609375,0.9695739968578763,7.534939289093018,0.06430134177207947,86.95054626464844,19.00315284729004
17,0.4876953125,0.769916598984971,9.483043670654297,0.01938944309949875,520.6036987304688,121.37635040283203
18,0.0172265625,0.9854273217171501,6.744495391845703,0.039011020213365555,26.740039825439453,7.627808094024658
19,0.06208984375,0.9511723327391644,7.993712425231934,0.06730998307466507,114.44749450683594,42.775169372558594
20,0.05244140625,0.961890554706949,7.776341915130615,0.08200332522392273,61.2976188659668,18.014625549316406
21,0.03828125,0.9703797670701764,7.499004364013672,0.07023286074399948,83.092041015625,25.762042999267578
22,0.02078125,0.9817397548096565,6.944789886474609,0.034772198647260666,18.05776023864746,3.9210569858551025
23,0.0515234375,0.9572109883325917,7.833212852478027,0.0553630106151104,141.8339385986328,40.13577651977539
24,0.02171875,0.9842477872922677,6.8901686668396,0.066344253718853,91.2433090209961,108.91594696044922
25,0.02845703125,0.9799495844962149,7.129722595214844,0.05558246374130249,31.371232986450195,13.134958267211914
26,0.02935546875,0.9850584704930738,6.872681617736816,0.10841257125139236,162.60813903808594,327.7381591796875
27,0.041953125,0.9703700829914819,7.537464618682861,0.07106854021549225,124.74799346923828,35.85030746459961
28,0.0474609375,0.9690584465291308,7.5971527099609375,0.09250275045633316,82.97943878173828,18.041934967041016
29,0.0569921875,0.9564459861857517,7.877444744110107,0.04863644391298294,48.441131591796875,22.060989379882812
30,0.02572265625,0.9808966370791239,7.052541732788086,0.050790831446647644,122.25042724609375,289.9068298339844
31,0.0337890625,0.9725376038123505,7.398838996887207,0.04713450372219086,69.1986083984375,18.884336471557617
32,0.052578125,0.9684154814479848,7.636360168457031,0.1055302619934082,75.22042083740234,26.772035598754883
33,0.01865234375,0.9839596813958738,6.830206871032715,0.03742973133921623,19.15496826171875,5.262694835662842
34,0.036796875,0.9739755947782984,7.404353141784668,0.07159608602523804,163.5392608642578,169.44105529785156
35,0.05140625,0.962614023075258,7.758598804473877,0.06467296928167343,58.21175765991211,21.57615089416504
36,0.0187109375,0.9864310343072888,6.728267669677734,0.06442580372095108,76.25818634033203,22.275182723999023
37,0.02513671875,0.9809030383733373,7.066637992858887,0.04864161089062691,44.793060302734375,11.676623344421387
38,0.03046875,0.9783098844975047,7.208352565765381,0.05777502804994583,31.421960830688477,8.463738441467285
39,0.02279296875,0.9849053374923944,6.88189697265625,0.08044548332691193,73.89807891845703,17.049968719482422
40,0.027578125,0.9803525316984121,7.111200332641602,0.05517267808318138,31.493858337402344,13.506813049316406
41,0.03068359375,0.97747214499406,7.224226951599121,0.06620995700359344,103.88727569580078,26.028963088989258
42,0.0346484375,0.9714561839729949,7.423724174499512,0.037008680403232574,50.45915222167969,39.569156646728516
43,0.03994140625,0.9720294741261553,7.4800262451171875,0.07090424001216888,63.69987487792969,14.6308012008667
44,0.011953125,0.9903374631641444,6.345685005187988,0.0383492149412632,32.45493698120117,16.490842819213867
45,0.04826171875,0.9657192556636283,7.67973518371582,0.0637063980102539,55.19350814819336,21.02031898498535
46,0.02697265625,0.9775112086090885,7.178410053253174,0.03875792771577835,23.21158218383789,10.934864044189453
47,0.03861328125,0.9707599239247751,7.497567176818848,0.07478180527687073,121.64070129394531,38.45800018310547
48,0.01357421875,0.9892524714057616,6.456086158752441,0.04251941293478012,22.814605712890625,7.6342854499816895
49,0.67515625,0.5211415111858213,10.29735279083252,0.5821578502655029,841.6488647460938,157.08432006835938
50,0.05099609375,0.9592503758903457,7.805049896240234,0.052359823137521744,104.39290618896484,36.21879196166992
51,0.0493359375,0.967273737724893,7.654041290283203,0.08162892609834671,83.41156005859375,24.329708099365234
52,0.03068359375,0.9785240609616848,7.200174808502197,0.07478578388690948,98.2562255859375,31.699295043945312
53,0.04169921875,0.9688167500933986,7.52994441986084,0.049221958965063095,23.014911651611328,10.646136283874512
54,0.13302734375,0.8926960066449927,8.727653503417969,0.04037957638502121,463.97991943359375,262.8000183105469
55,0.02181640625,0.982240101262938,6.964047431945801,0.0502837710082531,44.510799407958984,12.260313034057617
56,0.33177734375,0.7350830778339825,9.662760734558105,0.04814755171537399,660.8153686523438,187.40309143066406
57,0.6826171875,0.5093385148865843,10.306682586669922,0.043455544859170914,420.16339111328125,79.34217834472656
58,0.057890625,0.9528203564361915,7.939434051513672,0.07002036273479462,99.99351501464844,29.059139251708984
59,0.03447265625,0.977479713663044,7.254864692687988,0.06548948585987091,52.370304107666016,25.47443962097168
60,0.01912109375,0.9855447466866885,6.772832870483398,0.04673188552260399,86.99954223632812,106.41561126708984
61,0.034921875,0.9745079515833448,7.330270767211914,0.05163486301898956,22.73847770690918,7.181137561798096
62,0.0434375,0.9703229336272041,7.538243770599365,0.0670037642121315,80.51909637451172,27.719257354736328
63,0.02984375,0.9837927632428145,6.863442420959473,0.07855267822742462,60.575767517089844,137.46749877929688
